scene_id,video_name,start_time,end_time,duration,frame_count,rep_frame_path,method
0,man_vs_baby_trailer.mp4,0.0,8.0,8.0,17,data\scenes\man_vs_baby_trailer_scene_00.jpg,fixed_8s
1,man_vs_baby_trailer.mp4,8.0,16.0,8.0,17,data\scenes\man_vs_baby_trailer_scene_01.jpg,fixed_8s
2,man_vs_baby_trailer.mp4,24.0,32.0,8.0,17,data\scenes\man_vs_baby_trailer_scene_02.jpg,fixed_8s
3,man_vs_baby_trailer.mp4,32.0,40.0,8.0,17,data\scenes\man_vs_baby_trailer_scene_03.jpg,fixed_8s
4,man_vs_baby_trailer.mp4,40.0,48.0,8.0,16,data\scenes\man_vs_baby_trailer_scene_04.jpg,fixed_8s
5,man_vs_baby_trailer.mp4,48.0,56.0,8.0,17,data\scenes\man_vs_baby_trailer_scene_05.jpg,fixed_8s
6,man_vs_baby_trailer.mp4,56.0,64.0,8.0,17,data\scenes\man_vs_baby_trailer_scene_06.jpg,fixed_8s
7,man_vs_baby_trailer.mp4,64.0,72.0,8.0,16,data\scenes\man_vs_baby_trailer_scene_07.jpg,fixed_8s
8,man_vs_baby_trailer.mp4,72.0,80.0,8.0,17,data\scenes\man_vs_baby_trailer_scene_08.jpg,fixed_8s
9,man_vs_baby_trailer.mp4,88.0,96.0,8.0,16,data\scenes\man_vs_baby_trailer_scene_09.jpg,fixed_8s
10,man_vs_baby_trailer.mp4,96.0,104.0,8.0,17,data\scenes\man_vs_baby_trailer_scene_10.jpg,fixed_8s
0,ready_or_not_trailer.mp4,0.0,8.0,8.0,18,data\scenes\ready_or_not_trailer_scene_00.jpg,fixed_8s
1,ready_or_not_trailer.mp4,8.0,16.0,8.0,17,data\scenes\ready_or_not_trailer_scene_01.jpg,fixed_8s
2,ready_or_not_trailer.mp4,16.0,24.0,8.0,18,data\scenes\ready_or_not_trailer_scene_02.jpg,fixed_8s
3,ready_or_not_trailer.mp4,24.0,32.0,8.0,17,data\scenes\ready_or_not_trailer_scene_03.jpg,fixed_8s
4,ready_or_not_trailer.mp4,40.0,48.0,8.0,17,data\scenes\ready_or_not_trailer_scene_04.jpg,fixed_8s
5,ready_or_not_trailer.mp4,56.0,64.0,8.0,17,data\scenes\ready_or_not_trailer_scene_05.jpg,fixed_8s
6,ready_or_not_trailer.mp4,96.0,104.0,8.0,17,data\scenes\ready_or_not_trailer_scene_06.jpg,fixed_8s
7,ready_or_not_trailer.mp4,104.0,112.0,8.0,18,data\scenes\ready_or_not_trailer_scene_07.jpg,fixed_8s
8,ready_or_not_trailer.mp4,120.0,128.0,8.0,17,data\scenes\ready_or_not_trailer_scene_08.jpg,fixed_8s
9,ready_or_not_trailer.mp4,128.0,136.0,8.0,18,data\scenes\ready_or_not_trailer_scene_09.jpg,fixed_8s
0,toy_story_5_trailer.mp4,0.0,8.0,8.0,18,data\scenes\toy_story_5_trailer_scene_00.jpg,fixed_8s
1,toy_story_5_trailer.mp4,8.0,16.0,8.0,17,data\scenes\toy_story_5_trailer_scene_01.jpg,fixed_8s
2,toy_story_5_trailer.mp4,16.0,24.0,8.0,18,data\scenes\toy_story_5_trailer_scene_02.jpg,fixed_8s
3,toy_story_5_trailer.mp4,24.0,32.0,8.0,17,data\scenes\toy_story_5_trailer_scene_03.jpg,fixed_8s
4,toy_story_5_trailer.mp4,40.0,48.0,8.0,17,data\scenes\toy_story_5_trailer_scene_04.jpg,fixed_8s
